emotion,video_link
Angry,https://www.youtube.com/watch?v=eUhzDf9eRbM
Angry,https://www.youtube.com/watch?v=EEX_XM6SxmY
Angry,https://www.youtube.com/watch?v=FQS7i2z1CoA
Angry,https://www.youtube.com/watch?v=TvngY4unjn4
Angry,https://www.youtube.com/watch?v=IssysxAisfo
Angry,https://www.youtube.com/watch?v=LPYR9rwM2_M
Angry,https://www.youtube.com/watch?v=_c5B2I5k7KM
Angry,https://www.youtube.com/watch?v=y3jVRNi-V5M
Angry,https://www.youtube.com/watch?v=AKF2whlGnr4
Angry,https://www.youtube.com/watch?v=YfQ-3d5cFeo
Angry,https://www.youtube.com/watch?v=fFe0Q2U4rpw
Angry,https://www.youtube.com/watch?v=T8qZ-t6c49w
Angry,https://www.youtube.com/watch?v=ZCubHEHKkhk
Angry,https://www.youtube.com/watch?v=Ek-2VWEvQkQ
Angry,https://www.youtube.com/watch?v=cF2yqyiJACk
Angry,https://www.youtube.com/watch?v=p9DQINKZxWE
Angry,https://www.youtube.com/watch?v=3qKi29UR2g4
Angry,https://www.youtube.com/watch?v=RYqJ5w-GrfM
Angry,https://www.youtube.com/watch?v=RCgbE6eS-DU
Angry,https://www.youtube.com/watch?v=v4zQ_YJfSn8
Angry,https://www.youtube.com/watch?v=8DMF0U6xV78
Angry,https://www.youtube.com/watch?v=vLD0ltGhvrY
Angry,https://www.youtube.com/watch?v=ATf05n5LBHQ
Angry,https://www.youtube.com/watch?v=IjBAgWKW12Y
Angry,https://www.youtube.com/watch?v=bmyv0nRkDmc
Angry,https://www.youtube.com/watch?v=F1Ybj0DFirc
Angry,https://www.youtube.com/watch?v=lWdnDEBZ1Y8
Angry,https://www.youtube.com/watch?v=x9feF5rtMAc
Angry,https://www.youtube.com/watch?v=0gK1SHLtaOo
Angry,https://www.youtube.com/watch?v=ip1mGEifBu4
Angry,https://www.youtube.com/watch?v=KSnVzEee7QE
Angry,https://www.youtube.com/watch?v=Pvpmv1C7uqo
Angry,https://www.youtube.com/watch?v=dylzlPNDk7U
Angry,https://www.youtube.com/watch?v=4G5ScpHkuLA
